date,series_id,category,store_id,state_id,forecast_units,forecast_revenue,forecast_freight,avg_price
2018-08-30,auto::MG,auto,MG,MG,2.19,217.24,39.16,99.0
2018-08-31,auto::MG,auto,MG,MG,2.12,209.9,37.84,99.0
2018-09-01,auto::MG,auto,MG,MG,1.79,177.26,31.95,99.0
2018-09-02,auto::MG,auto,MG,MG,1.84,182.46,32.89,99.0
2018-09-03,auto::MG,auto,MG,MG,2.73,269.9,48.65,99.0
2018-09-04,auto::MG,auto,MG,MG,2.72,269.04,48.5,99.0
2018-09-05,auto::MG,auto,MG,MG,2.54,251.86,45.4,99.0
2018-09-06,auto::MG,auto,MG,MG,2.56,253.75,45.74,99.0
2018-09-07,auto::MG,auto,MG,MG,2.63,260.58,46.98,99.0
2018-09-08,auto::MG,auto,MG,MG,1.86,183.9,33.15,99.0
2018-09-09,auto::MG,auto,MG,MG,1.89,186.84,33.68,99.0
2018-09-10,auto::MG,auto,MG,MG,2.97,293.68,52.94,99.0
2018-09-11,auto::MG,auto,MG,MG,2.97,293.68,52.94,99.0
2018-09-12,auto::MG,auto,MG,MG,2.79,275.84,49.73,99.0
2018-09-13,auto::MG,auto,MG,MG,2.72,269.13,48.52,99.0
2018-09-14,auto::MG,auto,MG,MG,2.6,257.28,46.38,99.0
2018-09-15,auto::MG,auto,MG,MG,1.9,187.72,33.84,99.0
2018-09-16,auto::MG,auto,MG,MG,1.91,188.96,34.06,99.0
2018-09-17,auto::MG,auto,MG,MG,3.15,312.19,56.28,99.0
2018-09-18,auto::MG,auto,MG,MG,3.15,312.19,56.28,99.0
2018-09-19,auto::MG,auto,MG,MG,3.09,305.74,55.11,99.0
2018-09-20,auto::MG,auto,MG,MG,3.21,318.01,57.33,99.0
2018-09-21,auto::MG,auto,MG,MG,3.07,303.92,54.79,99.0
2018-09-22,auto::MG,auto,MG,MG,2.43,240.58,43.37,99.0
2018-09-23,auto::MG,auto,MG,MG,2.7,267.09,48.15,99.0
2018-09-24,auto::MG,auto,MG,MG,4.42,437.58,78.88,99.0
2018-09-25,auto::MG,auto,MG,MG,4.6,454.92,82.01,99.0
2018-09-26,auto::MG,auto,MG,MG,4.37,432.77,78.02,99.0
2018-08-30,auto::RJ,auto,RJ,RJ,1.59,118.41,18.04,74.57
2018-08-31,auto::RJ,auto,RJ,RJ,1.58,117.93,17.96,74.57
2018-09-01,auto::RJ,auto,RJ,RJ,1.46,108.73,16.56,74.57
2018-09-02,auto::RJ,auto,RJ,RJ,1.52,113.65,17.31,74.57
2018-09-03,auto::RJ,auto,RJ,RJ,2.03,151.2,23.03,74.57
2018-09-04,auto::RJ,auto,RJ,RJ,2.2,163.78,24.95,74.57
2018-09-05,auto::RJ,auto,RJ,RJ,2.16,161.23,24.56,74.57
2018-09-06,auto::RJ,auto,RJ,RJ,1.86,138.87,21.15,74.57
2018-09-07,auto::RJ,auto,RJ,RJ,1.65,122.92,18.72,74.57
2018-09-08,auto::RJ,auto,RJ,RJ,1.48,110.44,16.82,74.57
2018-09-09,auto::RJ,auto,RJ,RJ,1.47,109.57,16.69,74.57
2018-09-10,auto::RJ,auto,RJ,RJ,2.04,152.08,23.17,74.57
2018-09-11,auto::RJ,auto,RJ,RJ,1.99,148.53,22.62,74.57
2018-09-12,auto::RJ,auto,RJ,RJ,1.85,137.93,21.01,74.57
2018-09-13,auto::RJ,auto,RJ,RJ,1.82,135.82,20.69,74.57
2018-09-14,auto::RJ,auto,RJ,RJ,1.6,119.25,18.16,74.57
2018-09-15,auto::RJ,auto,RJ,RJ,1.31,97.64,14.87,74.57
2018-09-16,auto::RJ,auto,RJ,RJ,1.33,99.33,15.13,74.57
2018-09-17,auto::RJ,auto,RJ,RJ,1.84,137.4,20.93,74.57
2018-09-18,auto::RJ,auto,RJ,RJ,1.84,137.4,20.93,74.57
2018-09-19,auto::RJ,auto,RJ,RJ,1.7,126.8,19.32,74.57
2018-09-20,auto::RJ,auto,RJ,RJ,1.69,125.97,19.19,74.57
2018-09-21,auto::RJ,auto,RJ,RJ,1.74,130.08,19.81,74.57
2018-09-22,auto::RJ,auto,RJ,RJ,1.47,109.82,16.73,74.57
2018-09-23,auto::RJ,auto,RJ,RJ,1.48,110.23,16.79,74.57
2018-09-24,auto::RJ,auto,RJ,RJ,1.96,145.91,22.23,74.57
2018-09-25,auto::RJ,auto,RJ,RJ,1.96,145.91,22.23,74.57
2018-09-26,auto::RJ,auto,RJ,RJ,2.29,170.69,26.0,74.57
2018-08-30,auto::SP,auto,SP,SP,7.13,789.22,109.53,110.73
2018-08-31,auto::SP,auto,SP,SP,7.08,783.69,108.76,110.73
2018-09-01,auto::SP,auto,SP,SP,5.29,586.14,81.34,110.73
2018-09-02,auto::SP,auto,SP,SP,6.32,699.74,97.11,110.73
2018-09-03,auto::SP,auto,SP,SP,9.1,1008.09,139.9,110.73
2018-09-04,auto::SP,auto,SP,SP,9.3,1029.98,142.94,110.73
2018-09-05,auto::SP,auto,SP,SP,9.56,1059.15,146.99,110.73
2018-09-06,auto::SP,auto,SP,SP,9.84,1090.15,151.29,110.73
2018-09-07,auto::SP,auto,SP,SP,7.77,860.25,119.38,110.73
2018-09-08,auto::SP,auto,SP,SP,6.5,719.61,99.87,110.73
2018-09-09,auto::SP,auto,SP,SP,6.54,723.82,100.45,110.73
2018-09-10,auto::SP,auto,SP,SP,11.62,1286.31,178.51,110.73
2018-09-11,auto::SP,auto,SP,SP,11.64,1288.45,178.81,110.73
2018-09-12,auto::SP,auto,SP,SP,11.77,1302.95,180.82,110.73
2018-09-13,auto::SP,auto,SP,SP,12.55,1389.26,192.8,110.73
2018-09-14,auto::SP,auto,SP,SP,9.16,1014.69,140.82,110.73
2018-09-15,auto::SP,auto,SP,SP,7.73,856.12,118.81,110.73
2018-09-16,auto::SP,auto,SP,SP,8.29,917.66,127.35,110.73
2018-09-17,auto::SP,auto,SP,SP,14.13,1564.57,217.13,110.73
2018-09-18,auto::SP,auto,SP,SP,14.29,1582.24,219.58,110.73
2018-09-19,auto::SP,auto,SP,SP,15.19,1682.24,233.46,110.73
2018-09-20,auto::SP,auto,SP,SP,15.11,1673.62,232.26,110.73
2018-09-21,auto::SP,auto,SP,SP,10.1,1118.57,155.23,110.73
2018-09-22,auto::SP,auto,SP,SP,8.45,935.26,129.79,110.73
2018-09-23,auto::SP,auto,SP,SP,9.69,1073.18,148.93,110.73
2018-09-24,auto::SP,auto,SP,SP,15.77,1746.29,242.35,110.73
2018-09-25,auto::SP,auto,SP,SP,16.09,1781.56,247.24,110.73
2018-09-26,auto::SP,auto,SP,SP,15.4,1704.77,236.59,110.73
2018-08-30,baby::MG,baby,MG,MG,1.02,81.36,24.7,79.9
2018-08-31,baby::MG,baby,MG,MG,1.0,79.65,24.18,79.9
2018-09-01,baby::MG,baby,MG,MG,0.81,65.09,19.76,79.9
2018-09-02,baby::MG,baby,MG,MG,0.86,68.62,20.83,79.9
2018-09-03,baby::MG,baby,MG,MG,0.93,74.22,22.53,79.9
2018-09-04,baby::MG,baby,MG,MG,0.95,75.78,23.01,79.9
