series_id,category,store_id,state_id,forecast_units_28d,forecast_revenue_28d,forecast_freight_28d,avg_recent_units,demand_volatility,avg_price,recent_revenue_56d,customer_state,avg_delivery_risk_score,late_delivery_rate,demand_change_pct,volatility_index,revenue_at_risk,inventory_exposure_score,risk_level,recommended_action
perfumery::SP,perfumery,SP,SP,243.71,21326.4,2545.65,3.4107142857142856,2.81409947303855,107.03685766828733,18846.98,SP,5.38,0.0589,1.5519371727748692,0.8250762852887895,7867.7,100.0,High,Prioritize Demand Review And Reserve Capacity For This Category-State Lane.
cool_stuff::SP,cool_stuff,SP,SP,129.76,18520.5,2052.58,1.8392857142857142,1.4241652829804388,173.54196094009652,16055.190000000002,SP,5.38,0.0589,1.519611650485437,0.7743034548243163,6757.32,100.0,High,Prioritize Demand Review And Reserve Capacity For This Category-State Lane.
health_beauty::RJ,health_beauty,RJ,RJ,163.72,17998.85,2916.67,2.392857142857143,2.1965143579488218,176.96277922393446,19040.35,RJ,13.16,0.1347,1.4435820895522387,0.9179462988442838,6960.97,100.0,High,Prioritize Demand Review And Reserve Capacity For This Category-State Lane.
food::SP,food,SP,SP,172.08,9804.02,1925.34,1.8928571428571428,1.9322955865411051,61.37058045837383,6522.099999999999,SP,5.38,0.0589,2.246792452830189,1.020835404210395,3770.42,99.8,High,Prioritize Demand Review And Reserve Capacity For This Category-State Lane.
toys::SP,toys,SP,SP,185.46,17703.420000000002,2824.82,2.5892857142857144,1.8367638113544427,172.96230935659193,13836.84,SP,5.38,0.0589,1.5580689655172413,0.7093708512817157,6367.24,98.9,High,Prioritize Demand Review And Reserve Capacity For This Category-State Lane.
auto::SP,auto,SP,SP,291.41,32267.58,4478.04,5.053571428571429,3.2216294175302203,136.97233353530984,28988.88,SP,5.38,0.0589,1.0594346289752652,0.6374955737868987,9334.86,90.0,High,Prioritize Demand Review And Reserve Capacity For This Category-State Lane.
bed_bath_table::MG,bed_bath_table,MG,MG,111.71000000000001,10283.13,2639.67,2.0,2.1908902300206643,107.04117645292025,11453.7,MG,6.57,0.0561,0.9948214285714287,1.0954451150103321,3283.51,80.6,High,Prioritize Demand Review And Reserve Capacity For This Category-State Lane.
computers_accessories::SP,computers_accessories,SP,SP,332.46,28060.91,4441.55,6.25,4.108748980142031,99.39945808000854,31452.0,SP,5.38,0.0589,0.8997714285714284,0.657399836822725,7505.46,80.1,High,Prioritize Demand Review And Reserve Capacity For This Category-State Lane.
pet_shop::SP,pet_shop,SP,SP,174.13,16518.14,2776.29,3.0714285714285716,2.388283087051471,141.29724409389607,19841.58,SP,5.38,0.0589,1.0247674418604649,0.7775805399702462,4879.75,78.9,High,Prioritize Demand Review And Reserve Capacity For This Category-State Lane.
auto::RJ,auto,RJ,RJ,48.91,3647.52,555.6,0.9821428571428571,1.34151978169363,122.7481279154519,10209.720000000001,RJ,13.16,0.1347,0.7785454545454544,1.34151978169363,1178.49,74.6,High,Prioritize Demand Review And Reserve Capacity For This Category-State Lane.
auto::MG,auto,MG,MG,76.92,7614.01,1372.57,1.4642857142857142,1.4265570213156342,142.74805817020686,8731.39,MG,6.57,0.0561,0.8760975609756099,0.9742340633375064,2224.82,70.4,High,Prioritize Demand Review And Reserve Capacity For This Category-State Lane.
housewares::RJ,housewares,RJ,RJ,111.12,6305.45,1708.6399999999999,2.1607142857142856,2.0429638515405255,74.54095894071915,12961.439999999999,RJ,13.16,0.1347,0.8366942148760332,0.9455039312914829,1891.25,69.8,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
furniture_decor::SP,furniture_decor,SP,SP,300.76,24222.33,4922.46,6.357142857142857,4.668768852428078,86.68931429079603,30257.34,SP,5.38,0.0589,0.6896629213483145,0.7344130779100349,5881.56,69.7,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
health_beauty::MG,health_beauty,MG,MG,153.5,12430.08,1650.75,2.892857142857143,2.015201965322325,132.33002429543245,28040.97,MG,6.57,0.0561,0.8950617283950617,0.6966130250496926,3390.59,68.5,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
baby::SP,baby,SP,SP,168.12,14104.93,2016.88,3.2142857142857144,2.033485907269813,116.70918760568068,17108.54,SP,5.38,0.0589,0.8680000000000001,0.6326400600394972,3678.99,66.7,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
watches_gifts::SP,watches_gifts,SP,SP,232.08,41779.06,3134.56,6.035714285714286,3.2020691362378098,281.8621609430101,52038.759999999995,SP,5.38,0.0589,0.3732544378698226,0.5305203302642525,7524.31,65.6,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
stationery::SP,stationery,SP,SP,156.28,12380.09,2368.19,3.125,2.3281869653132556,100.7674187533393,14543.02,SP,5.38,0.0589,0.7860571428571428,0.7450198289002418,3191.61,64.4,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
housewares::MG,housewares,MG,MG,95.96000000000001,5601.29,1383.87,2.017857142857143,2.0314891217892486,82.78639035836613,13381.68,MG,6.57,0.0561,0.6984070796460178,1.0067556709752028,1505.3,61.8,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
fashion_bags_accessories::SP,fashion_bags_accessories,SP,SP,81.71,4077.25,654.55,1.6607142857142858,1.5871848802694173,67.16889759632981,5640.29,SP,5.38,0.0589,0.7572043010752687,0.955724228979434,1102.6,61.3,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
perfumery::RJ,perfumery,RJ,RJ,35.4,4170.99,532.37,0.8214285714285714,1.1771636613972951,153.3401864674441,4305.58,RJ,13.16,0.1347,0.5391304347826087,1.1771636613972951,1146.31,60.7,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
sports_leisure::SP,sports_leisure,SP,SP,314.98,26702.57,3952.84,7.553571428571429,4.467741519572757,104.49308468536528,42146.979999999996,SP,5.38,0.0589,0.4892671394799055,0.5914740546006486,5393.63,59.7,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
bed_bath_table::RJ,bed_bath_table,RJ,RJ,131.35999999999999,10027.49,3124.33,2.9642857142857144,2.5079095656762402,85.87867966626973,11824.880000000001,RJ,13.16,0.1347,0.5826506024096383,0.8460417811919846,2554.23,59.5,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
construction_tools_construction::SP,construction_tools_construction,SP,SP,107.4,4177.6,402.73,2.392857142857143,2.7080927299053545,90.61594693183396,18690.66,SP,5.38,0.0589,0.6029850746268657,1.131740245333581,1094.07,59.0,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
health_beauty::PR,health_beauty,PR,PR,46.0,3312.25,540.31,1.0,1.026910636104941,110.92029397473276,8171.25,PR,6.05,0.05,0.6428571428571428,1.026910636104941,864.36,57.8,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
small_appliances::SP,small_appliances,SP,SP,24.01,2638.71,342.17,0.5178571428571429,1.0267525404014246,349.84896084964595,5079.79,SP,5.38,0.0589,0.6558620689655172,1.0267525404014246,689.35,57.5,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
luggage_accessories::SP,luggage_accessories,SP,SP,38.22,3629.54,735.62,0.9285714285714286,1.2337252214646184,113.28771598639456,4896.3,SP,5.38,0.0589,0.47,1.2337252214646184,909.36,55.2,Medium,Watch For Demand Acceleration And Validate Replenishment Coverage.
