seller_id,seller_state,seller_city,orders,avg_delivery_risk_score,late_delivery_rate,total_revenue,total_freight
b1b3948701c5c72445495bd161b83a4c,SP,sao paulo,14,28.09,0.6429,21519.5,404.75
4e5725ba188db8252977a4f0227bd462,SP,ribeirao preto,21,24.94,0.2857,1865.09,364.27
821fb029fc6e495ca4f08a35d51e53a5,SP,sao paulo,24,24.35,0.375,17851.62,1365.55
3e8bd881d92466e63ba9e3e809cd3c50,RJ,rio de janeiro,8,22.82,0.375,1862.38,187.43
712e6ed8aa4aa1fa65dab41fed5737e4,SC,videira,77,20.74,0.2208,39385.0,6764.82
d3dcf0604eabf0224fbd5948b5e02f69,SP,sao paulo,9,20.57,0.3333,2902.3,165.11
06a2c3af7b3aee5d69171b0e14f0ee87,MA,sao luis,388,20.49,0.232,36030.99,12042.63
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,SP,sao paulo,20,20.28,0.25,21940.8,1754.4
2379bdc3888025689a9deb7b141507d5,SP,mogi mirim,9,20.19,0.3333,999.5,126.11
6bb0724edf0b62fb91ac404873a97241,SP,cotia,17,20.05,0.1765,3653.0,763.52
ad781527c93d00d89a11eecd9dcad7c1,SP,sao jose do rio preto,35,19.98,0.3429,6118.65,1935.98
655220df33262c7e0c4949a147366f94,SP,diadema,13,19.55,0.1538,2245.0,681.53
b0b346d3a89f5eb4c2968af3f083cd43,SP,campinas,9,19.53,0.4444,469.0,160.7
c35affa65afd250151285c5917fc1c8a,SP,sao paluo,8,18.9,0.125,4779.92,644.84
3a1a1fec38dd360f15fc912e821e169d,SP,sao paulo,15,18.76,0.2667,2073.38,405.23
f5f1f2c5f923f36ad79ea1d07185ddc9,SP,taruma,10,18.32,0.1,1517.77,173.73
7bac63f6603d382cc8d0832eb6c100a8,SP,sao paulo,19,18.17,0.1579,7751.95,362.65
4091f77d8c768fc3e81c20761471761d,SP,sao paulo,8,18.11,0.25,1079.0,230.87
ede0c03645598cdfc63ca8237acbe73d,SP,ribeirao preto,43,17.97,0.3488,2352.15,708.3
26e2c91ef821e1ff8985f408788fe35b,SP,ibitinga,12,17.94,0.4167,1649.4,274.47
2a261b5b644fa05f4f2700eb93544f2c,SP,porto ferreira,47,17.69,0.2128,5180.0,1905.08
