customer_state,orders,avg_delivery_risk_score,late_delivery_rate,total_revenue,avg_freight
AL,397,25.86,0.2393,78855.72,38.58
MA,717,17.91,0.1967,117009.38,42.95
BA,3256,15.92,0.1404,493584.14,29.96
CE,1279,14.96,0.1532,219757.38,36.5
SE,335,13.76,0.1522,56574.19,40.94
RJ,12350,13.16,0.1347,1759651.13,23.95
PB,517,13.01,0.1103,112586.82,48.84
PI,476,12.67,0.1597,84721.0,42.98
PE,1593,12.03,0.108,251889.49,35.83
PA,946,11.69,0.1237,174470.59,39.7
ES,1995,11.05,0.1223,268643.45,24.57
MS,701,10.56,0.1155,115429.97,27.02
RN,474,10.35,0.1076,82105.66,39.26
TO,274,10.08,0.1277,48402.51,42.35
SC,3546,9.93,0.0976,507012.13,24.85
GO,1957,9.38,0.0818,282836.7,26.25
DF,2080,8.34,0.0707,296498.41,23.86
RS,5344,8.04,0.0715,728718.47,24.81
MT,886,7.74,0.0677,152191.62,32.77
MG,11354,6.57,0.0561,1552481.83,23.46
AC,80,6.37,0.0375,15930.97,45.55
PR,4923,6.05,0.05,666063.51,23.49
RO,243,5.7,0.0288,45682.76,46.43
SP,40494,5.38,0.0589,5066562.98,17.33
AM,145,5.13,0.0414,22155.84,37.45
AP,67,5.01,0.0448,13374.81,41.3
RR,41,4.14,0.122,7057.47,48.34
